Ord,Best,Qty,Value,De,ice,Package,Parts,Description
x,m,1,AT90USB1286,AT90USB-TQFP,TQFP64,IC1,,
x,m,1,IS31FL3731,IS31FL3731(SSOP28),SSOP28-0.65-10.2X5.2MM,U1,310080003,
x,m,1,USB-RECEPTABLE,USB-RECEPTABLE,FCI-10103594-0001LF,USB,USB Receptable,
,o,1,12,1X10,1X10,COLUMS,,
,o,1,1X2,1X2,1X2,I2C,,
,o,1,SIDE,1X2,1X2,LEFT,,
,o,1,1X3,1X3,1X3,HWB,,
,o,1,LEDs,1X4,1X4,LED,,
,o,1,8,1X8,1X8,ROWS,,
,o,1,CA,1X9,1X9,LEDSCA,,
,o,1,CB,1X9,1X9,LEDSCB,,
,o,1,PWR,PINHD-1X2,1X02,+5V,PIN HEADER,
,o,1,ISP,PINHD-2X3,2X03,SPI,PIN HEADER,
,p,1,AUDIO-JACK3,AUDIO-JACK3,AUDIO-JACK-TRRS-SMD,SER,Audio jack - 3.5mm TRRS ,ariety - two rings.
x,r,4,100n,C-EUC1206,C1206,"C3, C4, C13, C15","CAPACITOR, European symbol",
x,r,2,1uF,C-EUC1206,C1206,"C2, C16","CAPACITOR, European symbol",
x,r,2,22n,C-EUC1206,C1206,"C1, C20","CAPACITOR, European symbol",
x,r,1,1uF,CPOL-EUE2-4,E2-4,C5,"POLARIZED CAPACITOR, European symbol",
x,r,1,16MHz,CRYSTALMJ,MJ,Q4,,
x,r,1,KMSXXXG,KMSXXXG,C&K-KMS-SWITCH,RST,C&K KMS Series,
x,r,1,INFO,LEDCHIP-LED0805,CHIP-LED0805,NFO,LED,
x,r,1,100k,R-EU_R1206,R1206,R10,"RESISTOR, European symbol",
x,r,1,18k,R-EU_R1206,R1206,R_EXT,"RESISTOR, European symbol",
x,r,2,1k0,R-EU_R1206,R1206,"R5, R6","RESISTOR, European symbol",
x,r,2,22,R-EU_R1206,R1206,"R3, R4","RESISTOR, European symbol",
x,r,3,270,R-EU_R1206,R1206,"R15, R16, R17","RESISTOR, European symbol",
x,r,3,4K7,R-EU_R1206,R1206,"R1, R2, R9","RESISTOR, European symbol",
